CaseID, Activity, Start Time, End Time
36641, Submit, 2013-01-27 13:11:45.0, 2013-01-27 13:11:46.0
36663, Submit, 2013-01-27 13:11:45.0, 2013-01-27 13:11:46.0
36684, Submit, 2013-01-27 13:11:46.0, 2013-01-27 13:11:46.0
36703, Submit, 2013-01-27 13:11:45.0, 2013-01-27 13:11:46.0
36723, Submit, 2013-01-27 13:11:45.0, 2013-01-27 13:11:46.0
36750, Submit, 2013-01-27 13:11:47.0, 2013-01-27 13:11:48.0
36771, Submit, 2013-01-27 13:11:49.0, 2013-01-27 13:11:50.0
36790, Submit, 2013-01-27 13:11:49.0, 2013-01-27 13:11:49.0
36809, Submit, 2013-01-27 13:11:49.0, 2013-01-27 13:11:49.0
36863, Submit, 2013-01-27 13:11:50.0, 2013-01-27 13:11:50.0
36882, Submit, 2013-01-27 13:11:50.0, 2013-01-27 13:11:50.0
36914, Submit, 2013-01-27 13:11:49.0, 2013-01-27 13:11:49.0
36949, Submit, 2013-01-27 13:11:50.0, 2013-01-27 13:11:51.0
37008, Submit, 2013-01-27 13:11:52.0, 2013-01-27 13:11:53.0
37040, Submit, 2013-01-27 13:11:52.0, 2013-01-27 13:11:53.0
37059, Submit, 2013-01-27 13:11:52.0, 2013-01-27 13:11:53.0
37109, Submit, 2013-01-27 13:11:54.0, 2013-01-27 13:11:54.0
37139, Submit, 2013-01-27 13:11:55.0, 2013-01-27 13:11:55.0
37169, Submit, 2013-01-27 13:12:07.0, 2013-01-27 13:12:08.0
37189, Submit, 2013-01-27 13:12:08.0, 2013-01-27 13:12:08.0
37208, Submit, 2013-01-27 13:12:08.0, 2013-01-27 13:12:08.0
37227, Submit, 2013-01-27 13:12:08.0, 2013-01-27 13:12:08.0
37246, Submit, 2013-01-27 13:12:10.0, 2013-01-27 13:12:10.0
37265, Submit, 2013-01-27 13:12:09.0, 2013-01-27 13:12:09.0
37285, Submit, 2013-01-27 13:12:08.0, 2013-01-27 13:12:08.0
37305, Submit, 2013-01-27 13:12:08.0, 2013-01-27 13:12:09.0
37324, Submit, 2013-01-27 13:12:08.0, 2013-01-27 13:12:09.0
37343, Submit, 2013-01-27 13:12:09.0, 2013-01-27 13:12:09.0
37362, Submit, 2013-01-27 13:12:09.0, 2013-01-27 13:12:09.0
37381, Submit, 2013-01-27 13:12:09.0, 2013-01-27 13:12:09.0
37400, Submit, 2013-01-27 13:12:08.0, 2013-01-27 13:12:08.0
37540, Submit, 2013-01-27 13:12:12.0, 2013-01-27 13:12:12.0
37563, Submit, 2013-01-27 13:12:12.0, 2013-01-27 13:12:12.0
37585, Submit, 2013-01-27 13:12:12.0, 2013-01-27 13:12:12.0
37607, Submit, 2013-01-27 13:12:12.0, 2013-01-27 13:12:12.0
37629, Submit, 2013-01-27 13:12:12.0, 2013-01-27 13:12:13.0
37698, Submit, 2013-01-27 13:12:15.0, 2013-01-27 13:12:15.0
37720, Submit, 2013-01-27 13:12:14.0, 2013-01-27 13:12:15.0
37742, Submit, 2013-01-27 13:12:15.0, 2013-01-27 13:12:15.0
37791, Submit, 2013-01-27 13:12:17.0, 2013-01-27 13:12:17.0
37813, Submit, 2013-01-27 13:12:17.0, 2013-01-27 13:12:17.0
